Index,Nama,Username,Lokasi,Description
0,paige_10_20,paige_10_20,,Just here to be there. Be a decent world.
1,TVRINews,News_TVRI,Senayan-Jakarta,Akun Resmi Twitter Portal Berita TVRI Nasional
2,Kigali Today,kigalitoday,Rwanda,Rwanda's Leading News Agency
3,Mutuyimana Servilien,mutuyiserv,,KigaliToday| KT Press| KT Radio
4,THE FUTURE TV,THEFUTURETV2,Rwanda/Africa ,"THE FUTURE TV izajya ibagezaho Amakuru agezweho ku Rwanda, Ibiganiro bisesenguye kuri POLITIKI, UBUTABERA, UMUTEKANO N'IMIBEREHO MYIZA.
#Rwot #Rwanda"
5,Aakash Thapar ♊,ThaparAakash,Mumbai,Under 30 Founder & CEO @digital_ahora Professor ➕ Mind Reader ➕ Digital Transformation Influencer ➕ Musicophile ➕ Learner👶 📧aakashthaparhr@gmail.com Cheers
6,#DilSe 🌟,navneetbhai,India,
7,Mehmet  Burak ÖDEMİŞ,_misode_,,
8,WTFIndian_RantingIndianOG,okamgoing,Navi Mumbai / Bahrain,"Writer, Shayar, Comedian (wannabe), WTFIndian, Mey Hoo “Vishesh Sutra”! Global Khabri, Local Chapri जले तो पार्थ...बुझे तो रश्मीरथि! #Rotary #StartupIndia"
9,TULISQQ.ASIA,QqTulis,,"𝙰𝙶𝙴𝙽 𝙿𝙾𝙺𝙴𝚁 𝙾𝙽𝙻𝙸𝙽𝙴 𝚃𝙴𝚁𝙿𝙴𝚁𝙲𝙰𝚈𝙰
Telah Berpengalaman melayani ribuan member sejak 2010 , Daftar Sekarang Juga!"
10,ayosurabayacom,ayosurabayacom,,Surabaya banget rek
11,ayosurabayacom,ayosurabayacom,,Surabaya banget rek
12,ayosurabayacom,ayosurabayacom,,Surabaya banget rek
13,Guillermo Anelo,GuilleAnelo1,San Fernando,"Chico de San Fernando (Cadiz) 25 años, pelo castaño y ojos negros... Enfermero de profesión. IG: guilleanelo"
14,ayo yogyakarta,ayoyogyacom,,
15,ayo yogyakarta,ayoyogyacom,,
16,ayo yogyakarta,ayoyogyacom,,
17,ayo yogyakarta,ayoyogyacom,,
18,ayo yogyakarta,ayoyogyacom,,
